,Code commune,Libellé commune,Code BV,id_bv,MARECHAL_eur,AUBRY_eur,BARDELLA_eur,TOUSSAINT_eur,HAYER_eur,BELLAMY_eur,GLUCKSMANN_eur,DEFFONTAINES_eur,Votants_eur,Blancs_eur,Nuls_eur,Inscrits_eur,TOUNSI_t1,GAILLARD_t1,ISNARD_t1,BREGEON_t1,PRETO_t1,YVARS_t1,MARTIN_t1,Votants_t1,Blancs_t1,Nuls_t1,Inscrits_t1,GAILLARD_t2,BREGEON_t2,Votants_t2,Blancs_t2,Nuls_t2,Inscrits_t2,evolution_Gaillard_t1_t2_abs,evolution_Gaillard_t1_t2_pct,evolution_Bregeon_t1_t2_abs,evolution_Bregeon_t1_t2_pct,evolution_Participation_t1_t2_abs,evolution_Participation_t1_t2_pct,evolution_Blancs_t1_t2_abs,evolution_Blancs_t1_t2_pct,evolution_BregeonIsnard_t1_t2_abs,evolution_BregeonIsnard_t1_t2_pct,evolution_NFP_eur_t1_abs,evolution_NFP_eur_t1_pct,evolution_LREM_eur_t1_abs,evolution_LREM_eur_t1_pct,evolution_LR_eur_t1_abs,evolution_LR_eur_t1_pct,evolution_RN_eur_t1_abs,evolution_RN_eur_t1_pct,evolution_Reqt_eur_t1_abs,evolution_Reqt_eur_t1_pct,evolution_EXD_eur_t1_abs,evolution_EXD_eur_t1_pct,evolution_Participation_eur_t1_abs,evolution_Participation_eur_t1_pct,evolution_Blancs_eur_t1_abs,evolution_Blancs_eur_t1_pct
37,92002,Antony,38,92002_38,32,98,74,58,133,68,108,12,628,7,0,955,3,269,33,304,8,99,0,729,13,0,947,270,391,697,36,0,947,1,0.10471204188481677,87,9.109947643979059,-32,-3.3507853403141366,23,2.408376963350785,54,5.654450261780105,-7,-0.7329842931937173,171,17.905759162303664,-35,-3.664921465968586,25,2.6178010471204187,-24,-2.513089005235602,1,0.10471204188481677,101,10.575916230366492,6,0.6282722513089005
38,92002,Antony,39,92002_39,6,151,48,8,27,9,19,7,324,12,0,926,7,367,9,59,1,42,4,502,13,0,924,399,81,514,34,0,924,32,3.455723542116631,22,2.375809935205184,12,1.2958963282937366,21,2.267818574514039,13,1.4038876889848813,182,19.654427645788335,32,3.455723542116631,0,0.0,-6,-0.6479481641468683,-5,-0.5399568034557235,-11,-1.187904967602592,178,19.222462203023756,1,0.10799136069114472
39,92002,Antony,40,92002_40,32,39,74,58,156,68,120,6,618,13,0,906,3,210,44,354,9,90,6,731,15,0,900,225,437,692,30,0,900,15,1.6556291390728477,83,9.161147902869757,-39,-4.304635761589404,15,1.6556291390728477,39,4.304635761589404,-13,-1.434878587196468,198,21.85430463576159,-24,-2.6490066225165565,16,1.7660044150110374,-23,-2.5386313465783665,-7,-0.772626931567329,113,12.472406181015453,2,0.22075055187637968
40,92002,Antony,41,92002_41,46,45,82,65,158,109,109,6,704,7,0,1009,3,202,49,412,6,130,4,822,16,0,996,208,534,773,31,0,996,6,0.5946481665014867,122,12.091179385530229,-49,-4.856293359762141,15,1.4866204162537164,73,7.234886025768088,-23,-2.2794846382556986,254,25.173439048562933,-60,-5.946481665014866,48,4.757185332011893,-40,-3.9643211100099105,8,0.7928642220019821,118,11.694747274529236,9,0.8919722497522299
41,92002,Antony,42,92002_42,33,43,56,42,117,45,125,17,521,9,0,802,6,214,35,253,10,83,4,612,7,0,798,226,292,558,40,0,798,12,1.4962593516209477,39,4.86284289276808,-54,-6.733167082294264,33,4.114713216957606,4,0.4987531172069825,-13,-1.6209476309226933,136,16.957605985037407,-10,-1.2468827930174564,27,3.366583541147132,-23,-2.8678304239401498,4,0.4987531172069825,91,11.346633416458852,-2,-0.24937655860349126
42,92002,Antony,43,92002_43,39,79,87,63,120,54,87,13,599,1,0,960,7,270,33,267,10,145,2,750,16,0,964,261,375,678,42,0,964,-9,-0.9375,108,11.25,-72,-7.5,26,2.7083333333333335,75,7.8125,28,2.9166666666666665,147,15.312500000000002,-21,-2.1875,58,6.041666666666667,-29,-3.0208333333333335,29,3.0208333333333335,151,15.729166666666666,15,1.5625
43,92002,Antony,44,92002_44,40,95,108,24,80,49,95,11,588,10,0,994,5,279,39,224,8,143,6,726,22,0,995,273,349,683,61,0,995,-6,-0.6036217303822937,125,12.575452716297786,-43,-4.325955734406438,39,3.9235412474849096,86,8.651911468812877,54,5.432595573440644,144,14.486921529175051,-10,-1.0060362173038229,35,3.5211267605633805,-32,-3.2193158953722336,3,0.30181086519114686,138,13.883299798792756,12,1.2072434607645874
44,92014,Bourg-la-Reine,1,92014_1,32,95,74,48,102,56,130,13,609,3,11,919,7,287,36,260,10,103,3,714,6,2,900,297,355,687,26,9,900,10,1.088139281828074,95,10.337323177366702,-27,-2.9379760609358,20,2.176278563656148,59,6.420021762785637,1,0.1088139281828074,158,17.19260065288357,-20,-2.176278563656148,29,3.1556039173014145,-22,-2.3939064200217626,7,0.7616974972796519,105,11.425462459194776,3,0.3264417845484222
45,92014,Bourg-la-Reine,2,92014_2,45,58,72,55,127,63,110,10,592,4,2,908,6,225,46,299,6,104,5,700,6,3,907,242,390,665,23,10,907,17,1.8722466960352422,91,10.022026431718063,-35,-3.854625550660793,17,1.8722466960352422,45,4.955947136563877,-8,-0.881057268722467,172,18.94273127753304,-17,-1.8722466960352422,32,3.524229074889868,-39,-4.295154185022026,-7,-0.7709251101321586,108,11.894273127753303,2,0.22026431718061676
46,92014,Bourg-la-Reine,3,92014_3,37,83,58,64,146,73,156,19,693,1,1,1044,6,332,40,315,9,83,6,797,4,2,1027,341,387,754,15,11,1028,9,0.8620689655172413,72,6.896551724137931,-43,-4.118773946360153,11,1.053639846743295,32,3.065134099616858,10,0.9578544061302682,169,16.187739463601535,-33,-3.1609195402298855,25,2.3946360153256707,-28,-2.681992337164751,-3,-0.28735632183908044,104,9.961685823754788,3,0.28735632183908044
